ensemble_size,solve_time_ms
1,4.894553916528821
3,5.049720988608897
10,5.314495996572077
30,5.303386016748846
100,6.963907042518258
300,6.979227066040039
1000,6.9094180362299085
3000,9.692979045212269
10000,14.035303029231727
30000,20.92496200930327
100000,52.16056189965457
